,ID,Program_Code,From_Grade,To_Grade,Group_State,Is_Non_Annual_,Days,Travel_Type,Departure_Date,Return_Date,Deposit_Date,Special_Pay,Tuition,FRP_Active,FRP_Cancelled,FRP_Take_up_percent_,Early_RPL,Latest_RPL,Cancelled_Pax,Total_Discount_Pax,Initial_System_Date,Poverty_Code,Region,CRM_Segment,School_Type,Parent_Meeting_Flag,MDR_Low_Grade,MDR_High_Grade,Total_School_Enrollment,Income_Level,EZ_Pay_Take_Up_Rate,School_Sponsor,SPR_Product_Type,SPR_New_Existing,FPP,Total_Pax,SPR_Group_Revenue,NumberOfMeetingswithParents,FirstMeeting,LastMeeting,DifferenceTraveltoFirstMeeting,DifferenceTraveltoLastMeeting,SchoolGradeTypeLow,SchoolGradeTypeHigh,SchoolGradeType,DepartureMonth,GroupGradeTypeLow,GroupGradeTypeHigh,GroupGradeType,MajorProgramCode,SingleGradeTripFlag,FPP_to_School_enrollment,FPP_to_PAX,Num_of_Non_FPP_PAX,SchoolSizeIndicator,Retained_in_2012_,NPS_2011,NPS_2010,NPS_2009,NPS_2008,>=_3_FPP_Date,>=_10_FPP_Date,>=_20_FPP_Date,>=_35_FPP_Date
1394,1395,HW,5.0,5.0,CO,0.0,4.0,A,2011-05-30,2011-06-02,2010-10-15,,1520.0,17.0,3.0,0.654,2010-04-02,2010-09-08,5.0,1.0,2010-04-02,B,Other,4.0,PUBLIC,1.0,K,5.0,690.0,O,0.385,0.0,East Coast,EXISTING,26.0,27.0,1520.0,2.0,2010-05-10,2010-09-23,385.0,249.0,Elementary,Elementary,Elementary->Elementary,May,K,Elementary,K->Elementary,H,1.0,0.037681159,0.962962963,1.0,M-L,1.0,10.0,9.0,9.0,10.0,2010-05-21,2010-06-07,2010-10-14,
1395,1396,HD,8.0,8.0,MA,0.0,4.0,B,2011-05-30,2011-06-02,2010-10-25,,741.0,25.0,2.0,0.568,,2010-09-20,3.0,5.0,2010-08-17,,Other,10.0,Private non-Christian,0.0,7,12.0,540.0,L,0.25,0.0,East Coast,EXISTING,44.0,49.0,741.0,0.0,,,,,Middle,Middle,Middle->Middle,May,Middle,High,Middle->High,H,1.0,0.081481481,0.897959184,5.0,S-M,1.0,,,8.0,9.0,2010-10-07,2010-10-20,2010-10-24,2010-10-26
1396,1397,HD,8.0,9.0,KS,0.0,4.0,A,2011-05-30,2011-06-02,2010-10-19,,1215.0,46.0,2.0,0.622,,2010-09-16,7.0,6.0,2010-09-15,B,Other,10.0,PUBLIC,1.0,7,9.0,558.0,L,0.257,0.0,East Coast,NEW,74.0,80.0,1215.0,1.0,2010-09-28,2010-09-28,244.0,244.0,Middle,High,Middle->High,May,Middle,High,Middle->High,H,0.0,0.132616487,0.925,6.0,S-M,0.0,8.0,,,,2010-10-04,2010-10-08,2010-10-13,2010-10-18
1397,1398,HD,8.0,8.0,NM,0.0,5.0,A,2011-05-30,2011-06-03,2010-10-22,,1975.0,6.0,2.0,0.6,2010-02-03,2010-08-20,3.0,1.0,2010-02-03,C,Other,10.0,PUBLIC,1.0,6,8.0,538.0,G,0.2,0.0,East Coast,EXISTING,10.0,11.0,1975.0,1.0,2010-09-15,2010-09-15,257.0,257.0,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1.0,0.018587361,0.909090909,1.0,S-M,1.0,10.0,10.0,,10.0,2010-05-27,2011-02-16,,
1398,1399,HD,8.0,8.0,IN,0.0,4.0,B,2011-05-30,2011-06-03,2010-10-22,FR,876.0,29.0,1.0,0.58,2010-04-26,2010-08-09,3.0,3.0,2010-04-22,C,Other,10.0,PUBLIC,1.0,6,8.0,525.0,G,0.26,0.0,East Coast,EXISTING,50.0,53.0,876.0,1.0,2010-09-22,2010-09-22,250.0,250.0,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1.0,0.095238095,0.943396226,3.0,S-M,1.0,10.0,9.0,10.0,10.0,2010-05-22,2010-05-27,2010-06-02,2010-10-19
1399,1400,HD,8.0,8.0,IN,0.0,4.0,B,2011-05-30,2011-06-03,2010-10-01,FR,876.0,20.0,1.0,0.625,,2010-08-23,1.0,2.0,2010-04-23,C,Other,10.0,PUBLIC,1.0,6,8.0,515.0,G,0.219,0.0,East Coast,EXISTING,32.0,34.0,876.0,1.0,2010-09-23,2010-09-23,249.0,249.0,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1.0,0.062135922,0.941176471,2.0,S-M,1.0,10.0,10.0,,10.0,2010-09-29,2010-10-19,2010-10-22,
1400,1401,HD,8.0,8.0,AZ,0.0,5.0,A,2011-05-30,2011-06-03,2010-10-22,,2215.0,6.0,2.0,0.75,2010-04-26,2010-08-23,0.0,1.0,2010-04-23,B,Other,10.0,PUBLIC,1.0,K,8.0,806.0,O,0.5,0.0,East Coast,EXISTING,8.0,9.0,2215.0,1.0,2010-09-09,2010-09-09,263.0,263.0,Middle,Middle,Middle->Middle,May,K,Middle,K->Middle,H,1.0,0.009925558,0.888888889,1.0,M-L,0.0,,9.0,,10.0,2010-10-01,,,
1401,1402,HD,,,SD,0.0,5.0,A,2011-05-30,2011-06-03,2010-10-15,,1557.0,31.0,0.0,0.756,2010-02-18,2010-08-25,1.0,5.0,2010-01-28,,Other,5.0,Catholic,1.0,7,12.0,272.0,I,0.268,0.0,East Coast,EXISTING,41.0,46.0,1557.0,1.0,2010-09-01,2010-09-01,271.0,271.0,Undefined,Undefined,Undefined->Undefined,May,Middle,High,Middle->High,H,0.0,0.150735294,0.891304348,5.0,S,1.0,9.0,9.0,10.0,,2010-05-21,2010-05-25,2010-05-30,2010-10-14
1402,1403,HD,8.0,9.0,UT,0.0,5.0,A,2011-05-30,2011-06-03,2010-10-08,,1940.0,11.0,4.0,0.917,,2010-09-13,5.0,1.0,2010-09-09,B,Other,10.0,PUBLIC,1.0,8,9.0,808.0,G,0.25,0.0,East Coast,NEW,12.0,13.0,1940.0,1.0,2010-09-22,2010-09-22,250.0,250.0,Middle,High,Middle->High,May,Middle,High,Middle->High,H,0.0,0.014851485,0.923076923,1.0,M-L,1.0,10.0,,,,2010-10-01,2010-10-08,,
1403,1404,HD,7.0,7.0,MN,0.0,5.0,A,2011-05-30,2011-06-03,2010-10-01,,1610.0,34.0,0.0,0.642,,2010-07-01,0.0,3.0,2010-06-22,,Other,5.0,Private non-Christian,1.0,PK,12.0,650.0,M,0.189,0.0,East Coast,EXISTING,53.0,56.0,1610.0,1.0,2010-09-23,2010-09-23,249.0,249.0,Middle,Middle,Middle->Middle,May,PK,High,PK->High,H,1.0,0.081538462,0.946428571,3.0,M-L,1.0,,9.0,10.0,8.0,2010-09-22,2010-09-27,2010-09-30,2010-10-01
1404,1405,HD,8.0,8.0,IL,0.0,4.0,B,2011-05-30,2011-06-03,2010-11-01,,768.0,31.0,6.0,0.738,2010-03-09,2010-08-31,5.0,3.0,2010-02-27,B,Other,10.0,PUBLIC,0.0,6,8.0,550.0,J,0.476,0.0,East Coast,EXISTING,42.0,45.0,768.0,0.0,,,,,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1.0,0.076363636,0.933333333,3.0,S-M,1.0,10.0,10.0,10.0,10.0,2010-05-18,2010-06-01,2010-09-27,2010-10-30
1405,1406,HD,8.0,8.0,MO,0.0,5.0,A,2011-05-30,2011-06-03,2010-10-30,FR,1676.0,19.0,5.0,0.487,2010-04-02,2010-08-09,5.0,3.0,2010-04-02,B,Other,10.0,PUBLIC,1.0,6,8.0,359.0,I,0.128,0.0,East Coast,EXISTING,39.0,42.0,1676.0,1.0,2010-08-12,2010-08-12,291.0,291.0,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1.0,0.108635097,0.928571429,3.0,S-M,1.0,8.0,10.0,10.0,10.0,2010-05-04,2010-05-28,2010-06-01,2010-09-22
1406,1407,HD,9.0,12.0,CO,0.0,5.0,A,2011-05-30,2011-06-03,2010-10-01,,1827.0,8.0,2.0,0.615,2010-03-01,2010-10-04,2.0,2.0,2010-03-02,B,Other,10.0,PUBLIC,0.0,PK,12.0,140.0,J,0.0,0.0,East Coast,NEW,13.0,15.0,1827.0,0.0,,,,,High,High,High->High,May,PK,High,PK->High,H,0.0,0.092857143,0.866666667,2.0,S,0.0,9.0,,9.0,,2010-09-23,2010-09-30,,
1407,1408,HD,8.0,8.0,CO,0.0,5.0,A,2011-05-30,2011-06-03,2010-10-01,,1912.0,18.0,6.0,0.692,2010-03-05,2010-08-05,9.0,2.0,2010-03-06,C,Other,3.0,PUBLIC,1.0,6,12.0,508.0,K,0.308,0.0,East Coast,EXISTING,26.0,28.0,1912.0,1.0,2010-09-14,2010-09-14,258.0,258.0,Middle,Middle,Middle->Middle,May,Middle,High,Middle->High,H,1.0,0.051181102,0.928571429,2.0,S-M,1.0,10.0,10.0,,,2010-04-26,2010-08-31,2010-09-15,
1408,1409,HD,8.0,8.0,AZ,0.0,5.0,A,2011-05-30,2011-06-03,2010-10-22,,2290.0,2.0,0.0,0.5,2010-04-26,2010-08-17,0.0,1.0,2010-04-23,B,Other,5.0,PUBLIC,1.0,K,8.0,1025.0,N,0.5,0.0,East Coast,EXISTING,4.0,5.0,2290.0,1.0,2010-09-21,2010-09-21,251.0,251.0,Middle,Middle,Middle->Middle,May,K,Middle,K->Middle,H,1.0,0.003902439,0.8,1.0,L,1.0,10.0,10.0,10.0,10.0,2010-09-27,,,
1409,1410,HD,8.0,,AZ,0.0,5.0,A,2011-05-30,2011-06-03,2010-10-01,,1903.0,1.0,1.0,0.333,2010-03-03,2010-08-02,1.0,1.0,2010-03-03,C,Other,5.0,PUBLIC,1.0,6,8.0,95.0,K,0.333,0.0,East Coast,EXISTING,3.0,4.0,1903.0,2.0,2010-05-13,2010-09-02,382.0,270.0,Middle,Undefined,Middle->Undefined,May,Middle,Middle,Middle->Middle,H,0.0,0.031578947,0.75,1.0,S,1.0,10.0,7.0,,,2010-10-08,,,
1410,1411,HD,8.0,8.0,NM,0.0,5.0,A,2011-05-30,2011-06-03,2010-10-29,,1943.0,33.0,5.0,0.846,2010-08-04,2010-08-04,8.0,3.0,2010-08-04,C,Other,10.0,PUBLIC,1.0,8,9.0,510.0,H,0.256,0.0,East Coast,EXISTING,39.0,42.0,1943.0,1.0,2010-09-22,2010-09-22,250.0,250.0,Middle,Middle,Middle->Middle,May,Middle,High,Middle->High,H,1.0,0.076470588,0.928571429,3.0,S-M,1.0,8.0,10.0,,,2010-09-25,2010-10-05,2010-10-22,2010-10-29
1411,1412,HD,7.0,8.0,AZ,0.0,5.0,A,2011-05-30,2011-06-03,2010-10-15,,2016.0,6.0,1.0,0.75,,2010-08-06,1.0,1.0,2010-08-06,B,Other,10.0,PUBLIC,1.0,K,8.0,786.0,L,0.375,0.0,East Coast,NEW,8.0,9.0,2016.0,1.0,2010-09-09,2010-09-09,263.0,263.0,Middle,Middle,Middle->Middle,May,K,Middle,K->Middle,H,0.0,0.010178117,0.888888889,1.0,M-L,0.0,,,,,2010-09-15,,,
1412,1413,HC,12.0,12.0,NE,0.0,5.0,A,2011-05-30,2011-06-03,2010-10-15,,2117.0,14.0,2.0,0.667,,2010-08-10,0.0,2.0,2010-08-11,C,Other,8.0,PUBLIC,0.0,9,12.0,184.0,C,0.286,0.0,East Coast,NEW,21.0,23.0,2117.0,0.0,,,,,High,High,High->High,May,High,High,High->High,H,1.0,0.114130435,0.913043478,2.0,S,0.0,,,,,2010-09-23,2010-09-27,2010-10-04,
1413,1414,HD,8.0,8.0,IL,0.0,4.0,B,2011-05-30,2011-06-03,2010-11-01,,793.0,28.0,1.0,0.596,,2010-08-30,1.0,3.0,2010-08-21,B,Other,10.0,PUBLIC,0.0,7,8.0,270.0,J,0.298,0.0,East Coast,EXISTING,47.0,50.0,793.0,0.0,,,,,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1.0,0.174074074,0.94,3.0,S,1.0,9.0,8.0,9.0,,2010-09-18,2010-10-01,2010-10-29,2010-11-02
1414,1415,HC,11.0,11.0,TX,0.0,5.0,A,2011-05-30,2011-06-03,2010-11-08,FR,2049.0,5.0,7.0,0.625,,2010-09-09,8.0,1.0,2010-09-03,B,Dallas,8.0,PUBLIC,1.0,10,12.0,2175.0,N,0.375,0.0,East Coast,EXISTING,8.0,9.0,2049.0,1.0,2010-09-22,2010-09-22,250.0,250.0,High,High,High->High,May,High,High,High->High,H,1.0,0.003678161,0.888888889,1.0,L,0.0,9.0,,,10.0,2010-10-10,,,
1415,1416,HD,6.0,8.0,MO,1.0,5.0,B,2011-05-30,2011-06-04,2010-10-20,,929.0,28.0,2.0,0.622,2010-03-15,2010-08-31,2.0,3.0,2010-03-11,C,Other,10.0,PUBLIC,1.0,6,8.0,275.0,F,0.156,0.0,East Coast,EXISTING,45.0,48.0,929.0,2.0,2010-05-25,2010-09-29,370.0,243.0,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,0.0,0.163636364,0.9375,3.0,S,0.0,10.0,,9.0,,2010-05-28,2010-06-01,2010-06-07,2010-10-15
1416,1417,HF,4.0,5.0,CA,0.0,1.0,A,2011-05-31,2011-05-31,2010-10-30,FR,445.0,20.0,1.0,0.465,2010-05-11,2010-09-14,3.0,1.0,2010-04-27,C,Southern California,4.0,PUBLIC,0.0,K,5.0,377.0,L,0.116,0.0,CA History,EXISTING,43.0,44.0,445.0,0.0,,,,,Elementary,Elementary,Elementary->Elementary,May,K,Elementary,K->Elementary,H,0.0,0.114058355,0.977272727,1.0,S-M,1.0,10.0,10.0,10.0,10.0,2010-10-12,2010-10-18,2010-10-25,2010-10-30
1417,1418,HD,7.0,8.0,NE,1.0,3.0,A,2011-05-31,2011-06-02,2010-10-15,FR,1324.0,9.0,0.0,0.818,2010-01-28,2010-08-09,0.0,1.0,2010-01-29,B,Other,10.0,PUBLIC,1.0,4,8.0,300.0,J,0.546,0.0,East Coast,EXISTING,11.0,12.0,1324.0,1.0,2010-09-14,2010-09-14,259.0,259.0,Middle,Middle,Middle->Middle,May,Elementary,Middle,Elementary->Middle,H,0.0,0.036666667,0.916666667,1.0,S,0.0,9.0,,10.0,,2010-09-14,2010-11-21,,
1418,1419,HD,7.0,8.0,IA,1.0,3.0,A,2011-05-31,2011-06-02,2010-11-01,,1318.0,7.0,0.0,0.778,2010-02-02,2010-08-11,0.0,1.0,2010-02-02,C,Other,10.0,PUBLIC,1.0,6,8.0,250.0,G,0.333,0.0,East Coast,EXISTING,9.0,10.0,1318.0,1.0,2010-09-09,2010-09-09,264.0,264.0,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,0.0,0.036,0.9,1.0,S,0.0,9.0,,10.0,,2010-09-30,,,
1419,1420,HD,7.0,8.0,IN,0.0,3.0,A,2011-05-31,2011-06-02,2010-10-01,,1193.0,6.0,11.0,0.6,2010-05-17,2010-08-17,13.0,1.0,2010-05-15,C,Other,10.0,PUBLIC,1.0,6,8.0,700.0,I,0.2,0.0,East Coast,EXISTING,10.0,11.0,1193.0,1.0,2010-08-31,2010-08-31,273.0,273.0,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,0.0,0.014285714,0.909090909,1.0,M-L,0.0,,10.0,,,2010-09-30,2011-04-11,,
1420,1421,CD,6.0,8.0,FL,0.0,3.0,A,2011-05-31,2011-06-02,2010-11-01,,1249.0,5.0,1.0,1.0,,2010-08-20,0.0,1.0,2010-08-19,,Other,10.0,CHD,1.0,PK,12.0,340.0,J,0.2,0.0,East Coast,NEW,5.0,6.0,1249.0,1.0,2010-09-28,2010-09-28,245.0,245.0,Middle,Middle,Middle->Middle,May,PK,High,PK->High,C,0.0,0.014705882,0.833333333,1.0,S-M,0.0,10.0,,,,2010-10-07,,,
1421,1422,HN,8.0,8.0,TX,0.0,4.0,A,2011-05-31,2011-06-03,2010-10-31,,1910.0,18.0,5.0,0.462,2010-04-19,2010-09-03,8.0,6.0,2010-04-14,B,Houston,10.0,PUBLIC,1.0,6,8.0,897.0,J,0.385,0.0,East Coast,EXISTING,39.0,45.0,1910.0,1.0,2010-09-28,2010-09-28,245.0,245.0,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1.0,0.043478261,0.866666667,6.0,L,1.0,10.0,10.0,10.0,10.0,2010-05-03,2010-05-28,2010-06-05,2010-10-24
1422,1423,HD,8.0,8.0,NE,0.0,4.0,A,2011-05-31,2011-06-03,2010-10-01,,1649.0,15.0,1.0,0.6,2010-05-03,2010-08-24,3.0,1.0,2010-04-13,B,Other,10.0,PUBLIC,1.0,6,8.0,230.0,F,0.08,0.0,East Coast,EXISTING,25.0,26.0,1649.0,1.0,2010-09-22,2010-09-22,251.0,251.0,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1.0,0.108695652,0.961538462,1.0,S,1.0,10.0,10.0,10.0,9.0,2010-06-01,2010-09-09,2010-10-01,
1423,1424,HD,8.0,8.0,ND,0.0,4.0,A,2011-05-31,2011-06-03,2010-05-14,FR,1656.0,33.0,1.0,0.66,2010-03-16,2010-03-16,3.0,3.0,2010-02-05,B,Other,10.0,PUBLIC,1.0,7,9.0,830.0,L,0.36,0.0,East Coast,EXISTING,50.0,53.0,1656.0,1.0,2010-09-27,2010-09-27,246.0,246.0,Middle,Middle,Middle->Middle,May,Middle,High,Middle->High,H,1.0,0.060240964,0.943396226,3.0,L,1.0,9.0,9.0,8.0,10.0,2010-04-19,2010-04-19,2010-04-21,2010-05-04
1424,1425,HD,8.0,8.0,KS,0.0,4.0,A,2011-05-31,2011-06-03,2010-11-12,,1549.0,21.0,4.0,0.677,2010-05-11,2010-08-12,5.0,1.0,2010-05-12,C,Other,10.0,PUBLIC,1.0,8,8.0,347.0,C,0.323,0.0,East Coast,EXISTING,31.0,32.0,1549.0,1.0,2010-08-29,2010-08-29,275.0,275.0,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1.0,0.089337176,0.96875,1.0,S-M,1.0,10.0,,9.0,10.0,2010-05-28,2010-06-01,2010-09-20,
1425,1426,HD,,,ND,0.0,4.0,A,2011-05-31,2011-06-03,2010-10-29,,1566.0,26.0,1.0,0.765,2010-05-19,2010-08-24,1.0,1.0,2010-05-19,B,Other,10.0,PUBLIC,1.0,7,9.0,164.0,G,0.412,0.0,East Coast,EXISTING,34.0,35.0,1566.0,1.0,2010-09-01,2010-09-01,272.0,272.0,Undefined,Undefined,Undefined->Undefined,May,Middle,High,Middle->High,H,0.0,0.207317073,0.971428571,1.0,S,1.0,10.0,10.0,9.0,10.0,2010-05-26,2010-05-31,2010-09-28,
1426,1427,HD,8.0,8.0,KS,0.0,4.0,A,2011-05-31,2011-06-03,2010-10-29,FR,1469.0,7.0,2.0,0.333,2010-03-09,2010-08-31,3.0,2.0,2010-03-09,B,Other,10.0,PUBLIC,0.0,6,8.0,411.0,F,0.143,0.0,East Coast,EXISTING,21.0,23.0,1469.0,0.0,,,,,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1.0,0.051094891,0.913043478,2.0,S-M,1.0,9.0,9.0,,5.0,2010-05-24,2010-05-31,2011-03-09,
1427,1428,HY,8.0,8.0,NH,0.0,4.0,B,2011-05-31,2011-06-03,2010-10-21,CP,609.0,50.0,8.0,0.37,2010-06-15,2010-09-20,14.0,8.0,2010-06-15,B,Other,10.0,PUBLIC,1.0,6,8.0,1174.0,J,0.163,0.0,East Coast,EXISTING,135.0,143.0,609.0,1.0,2010-09-23,2010-09-23,250.0,250.0,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1.0,0.114991482,0.944055944,8.0,L,1.0,,,10.0,9.0,2010-06-29,2010-07-06,2010-08-07,2010-10-18
1428,1429,HC,6.0,8.0,MO,0.0,4.0,A,2011-05-31,2011-06-03,2010-11-01,,1762.0,7.0,4.0,0.5,2010-04-16,2010-08-09,4.0,2.0,2010-04-15,C,Other,10.0,PUBLIC,1.0,6,8.0,600.0,E,0.286,0.0,East Coast,NEW,14.0,16.0,1762.0,1.0,2010-08-23,2010-08-23,281.0,281.0,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,0.0,0.023333333,0.875,2.0,M-L,0.0,10.0,,10.0,,2010-05-21,2010-06-01,,
1429,1430,HD,7.0,8.0,IL,1.0,4.0,A,2011-05-31,2011-06-03,2010-11-01,,1279.0,14.0,2.0,0.875,2010-03-10,2010-08-09,4.0,3.0,2010-03-10,,Other,7.0,PUBLIC,1.0,,,,,0.188,0.0,East Coast,NEW,16.0,19.0,1279.0,1.0,2010-09-16,2010-09-16,257.0,257.0,Middle,Middle,Middle->Middle,May,Undefined,Undefined,Undefined->Undefined,H,0.0,,0.842105263,3.0,,0.0,10.0,,,,2010-05-28,2010-06-02,,
1430,1431,HD,7.0,8.0,CA,0.0,4.0,A,2011-05-31,2011-06-03,2010-11-19,,1650.0,7.0,4.0,0.438,,2010-10-29,6.0,2.0,2010-10-29,C,Southern California,5.0,PUBLIC,1.0,7,8.0,610.0,M,0.313,1.0,East Coast,NEW,16.0,18.0,1650.0,1.0,2010-11-09,2010-11-09,203.0,203.0,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,0.0,0.026229508,0.888888889,2.0,M-L,0.0,,,,,2010-11-15,2010-11-22,,
1431,1432,HC,8.0,8.0,IN,0.0,4.0,A,2011-05-31,2011-06-03,2010-11-19,,1523.0,18.0,1.0,0.621,2010-04-30,2010-08-09,3.0,3.0,2010-04-30,C,Other,10.0,PUBLIC,1.0,6,8.0,575.0,I,0.241,0.0,East Coast,EXISTING,29.0,32.0,1523.0,1.0,2010-09-02,2010-09-02,271.0,271.0,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1.0,0.050434783,0.90625,3.0,S-M,1.0,10.0,10.0,10.0,10.0,2010-05-20,2010-05-24,2010-06-02,
1432,1433,HC,8.0,8.0,IN,0.0,4.0,A,2011-05-31,2011-06-03,2010-11-01,,1536.0,24.0,6.0,0.8,2010-02-08,2010-08-25,7.0,3.0,2010-02-06,C,Other,5.0,PUBLIC,1.0,6,8.0,840.0,O,0.3,0.0,East Coast,EXISTING,30.0,33.0,1536.0,1.0,2010-09-14,2010-09-14,259.0,259.0,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1.0,0.035714286,0.909090909,3.0,L,1.0,10.0,10.0,10.0,,2010-03-14,2010-04-27,2010-09-17,
1433,1434,HD,8.0,8.0,CT,0.0,4.0,B,2011-05-31,2011-06-03,2010-11-01,FR,760.0,88.0,8.0,0.672,2010-03-22,2010-08-30,9.0,12.0,2010-02-17,A,Other,5.0,PUBLIC,1.0,6,8.0,530.0,Q,0.137,1.0,East Coast,EXISTING,131.0,143.0,760.0,1.0,2010-10-06,2010-10-06,237.0,237.0,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1.0,0.247169811,0.916083916,12.0,S-M,1.0,8.0,8.0,,7.0,2010-04-28,2010-05-03,2010-05-08,2010-05-14
1434,1435,HD,7.0,8.0,KS,0.0,4.0,A,2011-05-31,2011-06-03,2010-11-12,,1553.0,13.0,1.0,0.684,2010-05-05,2010-08-13,1.0,1.0,2010-05-05,A,Other,10.0,PUBLIC,1.0,6,8.0,600.0,N,0.526,0.0,East Coast,EXISTING,19.0,20.0,1553.0,2.0,2010-09-02,2011-05-16,271.0,15.0,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,0.0,0.031666667,0.95,1.0,M-L,1.0,10.0,10.0,,,2010-05-25,2010-06-02,,
1435,1436,HD,8.0,8.0,NE,0.0,4.0,A,2011-05-31,2011-06-03,2010-11-01,FR,1410.0,31.0,2.0,0.564,2010-03-23,2010-08-31,4.0,4.0,2010-03-19,A,Other,10.0,PUBLIC,1.0,6,8.0,661.0,O,0.382,0.0,East Coast,EXISTING,55.0,59.0,1410.0,1.0,2010-09-08,2010-09-08,265.0,265.0,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1.0,0.083207262,0.93220339,4.0,M-L,1.0,10.0,9.0,9.0,10.0,2010-05-04,2010-05-13,2010-05-31,2010-10-26
1436,1437,HD,7.0,8.0,OK,0.0,4.0,A,2011-05-31,2011-06-03,2010-10-01,,1396.0,26.0,3.0,0.867,2010-04-19,2010-08-17,3.0,2.0,2010-04-14,A,Other,10.0,PUBLIC,1.0,6,8.0,928.0,L,0.367,0.0,East Coast,EXISTING,30.0,32.0,1396.0,1.0,2010-09-02,2010-09-02,271.0,271.0,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,0.0,0.032327586,0.9375,2.0,L,1.0,10.0,9.0,10.0,10.0,2010-09-15,2010-09-26,2010-10-01,
1437,1438,HD,8.0,8.0,TX,0.0,4.0,A,2011-05-31,2011-06-03,2010-11-08,,1587.0,16.0,2.0,1.0,2010-05-13,2010-09-20,2.0,2.0,2010-05-13,C,Houston,10.0,PUBLIC,1.0,6,8.0,336.0,G,0.25,0.0,East Coast,NEW,16.0,18.0,1587.0,2.0,2010-05-19,2010-10-06,377.0,237.0,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1.0,0.047619048,0.888888889,2.0,S,0.0,,,,,2010-05-20,2010-05-31,,
1438,1439,HD,7.0,8.0,TX,1.0,4.0,A,2011-05-31,2011-06-03,2010-10-15,,1228.0,14.0,6.0,0.778,2010-03-05,2010-08-11,7.0,2.0,2010-03-05,,Houston,10.0,Catholic,1.0,PK,8.0,399.0,B,0.5,0.0,East Coast,EXISTING,18.0,20.0,1228.0,1.0,2010-08-31,2010-08-31,273.0,273.0,Middle,Middle,Middle->Middle,May,PK,Middle,PK->Middle,H,0.0,0.045112782,0.9,2.0,S-M,0.0,10.0,,10.0,,2010-05-31,2010-05-31,,
1439,1440,HD,8.0,8.0,CT,0.0,4.0,B,2011-05-31,2011-06-03,2010-06-01,,743.0,115.0,12.0,0.737,2010-05-11,2010-09-27,16.0,19.0,2010-05-05,B,Other,10.0,PUBLIC,0.0,6,8.0,1110.0,M,0.224,0.0,East Coast,EXISTING,156.0,175.0,743.0,0.0,,,,,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,1.0,0.140540541,0.891428571,19.0,L,1.0,,10.0,10.0,10.0,2010-05-23,2010-05-25,2010-05-28,2010-05-31
1440,1441,HD,8.0,8.0,CO,0.0,4.0,A,2011-05-31,2011-06-03,2010-10-15,,1651.0,19.0,7.0,0.792,2010-04-15,2010-08-30,6.0,3.0,2010-04-14,B,Other,10.0,PUBLIC,1.0,K,8.0,917.0,O,0.458,0.0,East Coast,NEW,24.0,27.0,1651.0,1.0,2010-09-15,2010-09-15,258.0,258.0,Middle,Middle,Middle->Middle,May,K,Middle,K->Middle,H,1.0,0.026172301,0.888888889,3.0,L,1.0,8.0,,,,2010-05-21,2010-05-25,2010-08-12,
1441,1442,HD,7.0,8.0,OK,1.0,4.0,A,2011-05-31,2011-06-03,2010-10-01,,1583.0,2.0,13.0,0.4,2010-02-16,2010-08-25,15.0,1.0,2010-01-22,C,Other,10.0,PUBLIC,1.0,6,8.0,125.0,G,0.2,0.0,East Coast,EXISTING,5.0,6.0,1583.0,2.0,2010-05-11,2010-09-13,385.0,260.0,Middle,Middle,Middle->Middle,May,Middle,Middle,Middle->Middle,H,0.0,0.04,0.833333333,1.0,S,0.0,,,10.0,,2010-05-27,,,
